1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00515,hicAB,hicB;hicA;
RDBECOLITUC00516,ydcR,ydcR;
RDBECOLITUC00517,patD,patD;
RDBECOLITUC00518,ortT,ortT;
RDBECOLITUC00519,ydcY,ydcY;
RDBECOLITUC00520,mnaT-ydcZ,mnaT;ydcZ;
RDBECOLITUC00521,curA,curA;
RDBECOLITUC00522,mcbR,mcbR;
RDBECOLITUC00523,yncG,yncG;
RDBECOLITUC00524,yncH,yncH;
RDBECOLITUC00525,rhsE-ydcD,ydcD;rhsE;
RDBECOLITUC00526,yncI,yncI;
RDBECOLITUC00527,ydcC,ydcC;
RDBECOLITUC00528,pptA,pptA;
RDBECOLITUC00529,yddE,yddE;
RDBECOLITUC00530,yddLKJ,yddL;yddK;yddJ;
RDBECOLITUC00531,yddG,yddG;
RDBECOLITUC00532,yddM,yddM;
RDBECOLITUC00533,adhP,adhP;
RDBECOLITUC00534,maeA,maeA;
RDBECOLITUC00535,digH,digH;
RDBECOLITUC00536,pqqL,pqqL;
RDBECOLITUC00537,yddAB,yddA;yddB;
RDBECOLITUC00538,ydeM,ydeM;
RDBECOLITUC00539,ydeN,ydeN;
RDBECOLITUC00540,ydeQ,ydeQ;
RDBECOLITUC00541,ydeTSR,ydeT;ydeS;ydeR;
RDBECOLITUC00542,yneL,yneL;
RDBECOLITUC00543,yneO,yneO;
RDBECOLITUC00544,lsrK,lsrK;
RDBECOLITUC00545,lsrRK,lsrK;lsrR;
RDBECOLITUC00546,tam,tam;
RDBECOLITUC00547,yneE,yneE;
RDBECOLITUC00548,dgcF,dgcF;
RDBECOLITUC00549,glsB-yneG,glsB;yneG;
RDBECOLITUC00550,sad,sad;
RDBECOLITUC00551,yneJ,ptrR;
RDBECOLITUC00552,yneK,yneK;
RDBECOLITUC00553,mgtS,mgtS;
RDBECOLITUC00554,dgcZ,dgcZ;
RDBECOLITUC00555,ydfG,ydfG;
RDBECOLITUC00556,ydfH,rspR;
RDBECOLITUC00557,ydfZ,ydfZ;
RDBECOLITUC00558,ydfI,ydfI;
RDBECOLITUC00559,ydfJ,ydfJ;
RDBECOLITUC00560,yntF-ydfK,ynfT;ydfK;
RDBECOLITUC00561,pinQ,pinQ;
RDBECOLITUC00562,ynfO-ydfO,ydfO;ynfO;
RDBECOLITUC00563,gnsB,gnsB;
RDBECOLITUC00564,ynfN,ynfN;
RDBECOLITUC00565,essQ-ydfR-rrrQ-rzpQ-rzoQ,rzoQ;essQ;ydfR;rrrQ;rzpQ;
RDBECOLITUC00566,ydfUT,ydfU;ydfT;
RDBECOLITUC00567,rem,rem;
RDBECOLITUC00568,hokD,hokD;
RDBECOLITUC00569,relBE,relB;relE;
RDBECOLITUC00570,ydfV,ydfV;
RDBECOLITUC00571,dicC-ydfXW,dicC;ydfX;ydfW;
RDBECOLITUC00572,dicA,dicA;
RDBECOLITUC00573,ydfABC,ydfC;ydfB;ydfA;
RDBECOLITUC00574,dicF,dicF;
RDBECOLITUC00575,dicB-ydfDE-insD-intQ,intQ;insD7;ydfE;ydfD;dicB;
RDBECOLITUC00576,ynfP,ynfP;
RDBECOLITUC00577,rspA-rspB,rspA;rspB;
RDBECOLITUC00578,ynfA,ynfA;
RDBECOLITUC00579,ynfB-speG,speG;ynfB;
RDBECOLITUC00580,ynfD,ynfD;
RDBECOLITUC00581,clcB,clcB;
RDBECOLITUC00582,ynfK,bidA;
RDBECOLITUC00583,ynfL,ynfL;
RDBECOLITUC00584,ynfM,ynfM;
RDBECOLITUC00585,ydgD,ydgD;
RDBECOLITUC00586,mdtUJI,mdtU;mdtJ;mdtI;
RDBECOLITUC00587,ydgH,ydgH;
RDBECOLITUC00588,ydgI-folM,folM;ydgI;
RDBECOLITUC00589,tus,tus;
RDBECOLITUC00590,ydgA,ydgA;
RDBECOLITUC00591,hdhA,hdhA;
RDBECOLITUC00592,add,add;
RDBECOLITUC00593,blr,blr;
RDBECOLITUC00594,cnu,cnu;
RDBECOLITUC00595,gstA,gstA;
RDBECOLITUC00596,mliC,mliC;
RDBECOLITUC00597,anmK,anmK;
RDBECOLITUC00598,sodC,sodC;
RDBECOLITUC00599,ydhF,ydhF;
RDBECOLITUC00600,ydhL,ydhL;
RDBECOLITUC00601,mepH,mepH;
RDBECOLITUC00602,ydhC,punC;
RDBECOLITUC00603,ydhR,ydhR;
RDBECOLITUC00604,ydhS,ydhS;
RDBECOLITUC00605,ydhXUT,ydhX;ydhU;ydhT;
RDBECOLITUC00606,ydhYVW,ydhY;ydhV;ydhW;
RDBECOLITUC00607,fumD,fumD;
RDBECOLITUC00608,ldtE,ldtE;
RDBECOLITUC00609,rydB,rydB;
RDBECOLITUC00610,ydiJ-menI-ydiH,ydiJ;menI;ydiH;
RDBECOLITUC00611,ydiK,ydiK;
